hash,block,blocktime,from,label,to,label,value,symbol
0x3442a99252951c8921129b3963be32f49eeb7c15b1eaa3355999f4fdef5e32f0,10872210,2020-09-16 16:58:08,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx,0x056ce95d37ad99128c9b4922f0a3d01deea06344,,300,USDT
0x996c2eb629678a249c21ee779aea2204bde69072ce2573749f5f2e52a25cb840,10876351,2020-09-17 08:21:41,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx,0x056ce95d37ad99128c9b4922f0a3d01deea06344,,300,USDT
0x4db8d21bf55f9f01298e04cf3bcbb8de7a33521ff76f5df9fa3e9e9ec1371842,10890542,2020-09-19 12:41:07,0x056ce95d37ad99128c9b4922f0a3d01deea06344,,0x486775796b9d076bce17ff6d8de4416361ee5b20,,600,USDT
