hash,block,blocktime,from,label,to,label,value,fee
0x347706d8f639dd8014fab261601632aa35cb0f9c06831c744c22abe8a5f7659b,10890527,2020-09-19 12:37:11,0xa1837e66c5b147945fa1a944fb732f0aeb6c51ab,,0x056ce95d37ad99128c9b4922f0a3d01deea06344,,0.012,0.0028
0x4db8d21bf55f9f01298e04cf3bcbb8de7a33521ff76f5df9fa3e9e9ec1371842,10890542,2020-09-19 12:41:07,0x056ce95d37ad99128c9b4922f0a3d01deea06344,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0039
