hash,block,blocktime,from,label,to,label,value,symbol
0xae4a81649f46bf22522da5b02a979ce8ab4d443733277e6502f4ac81116e9dec,10826067,2020-09-09 14:57:45,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx,0x3e673742707229bca4d6b95363adf045c47a9e94,,20199.89,USDT
0x3ccfc11f6a0db82d5537413fd2f143ecd481df8dccf71001ea3d4b926798ad62,10826134,2020-09-09 15:13:50,0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,Huobi,0x3e673742707229bca4d6b95363adf045c47a9e94,,10561,USDT
0xf7bbef0d5e9df72d11eb87b5e6eff91fb3417b4d751a784f35b44aabbcc7406c,10826579,2020-09-09 16:53:39,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx,0x3e673742707229bca4d6b95363adf045c47a9e94,,7663.426,USDT
0xfd762c5d2c9f345d203e4a6035aeb2a8f03ffdd938eb40cb7dea91ce02c70351,10865007,2020-09-15 14:32:44,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x4083d114d5d630618a9c0c7700c7ad91d765e3ec,Binance,1000,USDT
0x42a456d58549ab9d0b9227fd9a659d16038bb7ad663701c2d886ea0677e8c8de,10872140,2020-09-16 16:44:23,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x11b5ab3601c501e32bdb96c96cee152245769313,,24852,USDT
0xd518aa995bea36ea305943751f1dc44ee97fd9afe34c378b0e8b3415e7d764e2,10872224,2020-09-16 17:01:12,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x4083d114d5d630618a9c0c7700c7ad91d765e3ec,Binance,20000,USDT
0x5b9e2891bafd5b7083a6abfd26677958e9ba1f8ee2251472b99f759ae3e23cbe,10872825,2020-09-16 19:14:09,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x8c131b6011ad4fc874ac044fdd0e6168c596f7a0,,7363.7,USDT
0x639e6d68e1a5a8f9338365490f7f10bda316b9310d9b57a9e2955f7618807295,10872966,2020-09-16 19:47:09,0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance,0x3e673742707229bca4d6b95363adf045c47a9e94,,2996,USDT
0x8122ede9241aa4f59d34b329f34bed6e4dd07acf935948bb54f8a51c100e44b6,10897673,2020-09-20 14:53:54,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x74aaf63910f2cec150ef8cf87af5422dbd944ce9,,14705.8,USDT
0x96a0df9f5f83237461a73a0a67bb39cccb35dbf908c80e1b6931efabb77f0565,10898342,2020-09-20 17:23:36,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x5ac24c04d163d5d0bb4b03fe7102614e4f0ad207,,14705.8,USDT
0xa2a89d8efa11faabff15c788e3569fb590dfdbaf27403bb2590cebfa3581b8c9,10902792,2020-09-21 09:26:47,0x04518389f9c790254f6471e955b7ac2fc0843990,,0x3e673742707229bca4d6b95363adf045c47a9e94,,10294.117,USDT
0x77c770602ded86b1361d17cc01dc3d30b8f917ac9cd9aab16197c71b9ce24176,10902802,2020-09-21 09:28:18,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x74aaf63910f2cec150ef8cf87af5422dbd944ce9,,10218.9,USDT
0x5543a3a43709e8fdc01730a455ee74aca85ebafb564155f51881f57ba63215ef,10935456,2020-09-26 10:03:50,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0x3e673742707229bca4d6b95363adf045c47a9e94,,43500,USDT
0x819e6e3793c337ce0cdbf4639b32afe5de66cfd9ac90c3f9102e9999e10ff6c0,10935495,2020-09-26 10:10:35,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x8c131b6011ad4fc874ac044fdd0e6168c596f7a0,,43923,USDT
0x8b053ef3ce978bcd20b2a0f1aa9d6c5a97e9492dd2e4f524f2a69da4bdb9b2a3,10937079,2020-09-26 16:07:52,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0x3e673742707229bca4d6b95363adf045c47a9e94,,70000,USDT
0xfa1c3a55089dc343b18b7c9cea501af26f7119f96cb5f08fc09ab8d0799cead2,10937092,2020-09-26 16:10:08,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x74aaf63910f2cec150ef8cf87af5422dbd944ce9,,14492,USDT
0x196b271f94f6bb4b54a5c170296cfea5882ade5f68897e42364b73af59bd73d6,10937098,2020-09-26 16:11:42,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x1b6ef97c9293a765c8040114a904966470488882,,956,USDT
0xcb6936fe24fe7a70276e8cfd0159b08f01322e12b661e46fe1694ecd56dd3783,10937103,2020-09-26 16:12:51,0x3e673742707229bca4d6b95363adf045c47a9e94,,0x4fc6c87a24569522672949f9a5947e7b7b0f2966,,2466,USDT
